action,profile_slug,brand_name,source_value,canonical_value,license_number,evidence_url
NORMALIZED_REGULATOR_NAME,activtrades,ActivTrades,Financial Conduct Authority (FCA),FCA,,https://brokerchooser.com/broker-reviews/activtrades-review
NORMALIZED_REGULATOR_NAME,activtrades,ActivTrades,The Securities Commission of the Bahamas,SCB,,https://brokerchooser.com/broker-reviews/activtrades-review
NORMALIZED_REGULATOR_NAME,activtrades,ActivTrades,FCA,FCA,,https://www.activtrades.mu/en
NORMALIZED_REGULATOR_NAME,activtrades,ActivTrades,SCB,SCB,,https://www.activtrades.mu/en
MERGED_REGULATOR_DUPLICATE,activtrades,ActivTrades,FCA,FCA,,https://www.activtrades.mu/en
MERGED_REGULATOR_DUPLICATE,activtrades,ActivTrades,SCB,SCB,,https://www.activtrades.mu/en
NORMALIZED_REGULATOR_NAME,admiral-markets-admirals,Admiral Markets (Admirals),FCA,FCA,,https://admiralmarkets.com/
NORMALIZED_REGULATOR_NAME,admiral-markets-admirals,Admiral Markets (Admirals),FSA Seychelles,FSA Seychelles,,https://admiralmarkets.com/
NORMALIZED_REGULATOR_NAME,atfx,ATFX,FCA,FCA,,https://www.atfx.com/pt/
NORMALIZED_REGULATOR_NAME,atfx,ATFX,ASIC,ASIC,,https://www.atfx.com/pt/
NORMALIZED_REGULATOR_NAME,atfx,ATFX,CySEC,CySEC,,https://www.atfx.com/pt/
NORMALIZED_REGULATOR_NAME,atfx,ATFX,FSCA,FSCA,,https://www.atfx.com/pt/
NORMALIZED_REGULATOR_NAME,atfx,ATFX,FSA Seychelles,FSA Seychelles,,https://www.atfx.com/pt/
NORMALIZED_REGULATOR_NAME,atfx,ATFX,FSC Mauritius,FSC Mauritius,,https://www.atfx.com/pt/
NORMALIZED_REGULATOR_NAME,avatrade,AvaTrade,Abu Dhabi Global Market Authorities Financial Services Regulatory Authority (ADGM – FSRA),ADGM,,https://brokerchooser.com/broker-reviews/avatrade-review
NORMALIZED_REGULATOR_NAME,avatrade,AvaTrade,Australian Securities and Investments Commission (ASIC),ASIC,,https://brokerchooser.com/broker-reviews/avatrade-review
NORMALIZED_REGULATOR_NAME,avatrade,AvaTrade,Financial Sector Conduct Authority (FSCA),FSCA,,https://brokerchooser.com/broker-reviews/avatrade-review
